tick,strategy_0_fraction,strategy_1_fraction,mean_trust,coordination_rate,num_interactions,strategy_switches,converged,majority_strategy,majority_fraction,mean_memory_window,norm_level,belief_error,belief_variance,norm_adoption_rate,mean_norm_strength,mean_ddm_evidence,total_anomalies,norm_crises,enforcement_events,norm_crystallisations,correct_norm_rate,mean_compliance
465,0.82,0.18,0.6472684325070815,0.68,50,24,False,0,0.82,3.99,0,0.16363333333333333,0.03294475,0.0,0.0,0.0,0,0,0,0,0.0,0.0
466,0.85,0.15,0.644730072554466,0.82,50,19,False,0,0.85,4.01,0,0.17116666666666663,0.041498083333333324,0.0,0.0,0.0,0,0,0,0,0.0,0.0
467,0.83,0.17,0.6362839535532776,0.78,50,20,False,0,0.83,4.0,0,0.17740000000000003,0.043945444444444454,0.0,0.0,0.0,0,0,0,0,0.0,0.0
468,0.85,0.15,0.6421795189792147,0.82,50,20,False,0,0.85,4.04,0,0.18499999999999997,0.055848444444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
469,0.81,0.19,0.6225160880225492,0.66,50,20,False,0,0.81,3.95,0,0.17860000000000006,0.045709,0.0,0.0,0.0,0,0,0,0,0.0,0.0
470,0.83,0.17,0.6082372024798842,0.7,50,24,False,0,0.83,3.88,0,0.16633333333333336,0.03695511111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
471,0.84,0.16,0.5966740746900129,0.72,50,25,False,0,0.84,3.85,0,0.17013333333333336,0.04035177777777777,0.0,0.0,0.0,0,0,0,0,0.0,0.0
472,0.85,0.15,0.5911362332350062,0.74,50,27,False,0,0.85,3.84,0,0.16366666666666668,0.03568066666666666,0.0,0.0,0.0,0,0,0,0,0.0,0.0
473,0.86,0.14,0.589307312271384,0.76,50,19,False,0,0.86,3.83,0,0.16466666666666666,0.037405111111111104,0.0,0.0,0.0,0,0,0,0,0.0,0.0
474,0.85,0.15,0.5918147614661047,0.82,50,25,False,0,0.85,3.86,0,0.1763333333333333,0.048205111111111115,0.0,0.0,0.0,0,0,0,0,0.0,0.0
475,0.83,0.17,0.583375577500832,0.74,50,18,False,0,0.83,3.87,0,0.18170000000000003,0.04215475,0.0,0.0,0.0,0,0,0,0,0.0,0.0
476,0.85,0.15,0.5813964140746231,0.7,50,16,False,0,0.85,3.81,0,0.16966666666666666,0.03541455555555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
477,0.83,0.17,0.5823805472448239,0.74,50,22,False,0,0.83,3.83,0,0.17746666666666666,0.040675444444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
478,0.83,0.17,0.5856239247925956,0.82,50,18,False,0,0.83,3.8,0,0.18803333333333336,0.05059097222222222,0.0,0.0,0.0,0,0,0,0,0.0,0.0
479,0.81,0.19,0.5798261439400794,0.7,50,18,False,0,0.81,3.84,0,0.18873333333333334,0.05199177777777779,0.0,0.0,0.0,0,0,0,0,0.0,0.0
