N,topology,degree_k,rewire_p,trial,converged,conv_tick,total_ticks,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err
100,ring,16,0.0,41,true,605,805,1.0,1.0,100,0.8987697556180039,0.0
100,ring,16,0.0,46,true,497,697,1.0,1.0,100,0.9160216709529098,0.0
100,ring,16,0.0,9,true,271,471,1.0,1.0,100,0.9226470920919784,0.0
100,ring,16,0.0,22,true,730,930,1.0,1.0,99,0.8606671597356008,0.0
100,ring,16,0.0,14,true,30,230,1.0,1.0,100,0.9261254145506872,0.0
100,ring,16,0.0,28,true,572,772,1.0,1.0,100,0.8976166917772292,0.0
100,ring,16,0.0,38,true,318,518,1.0,1.0,98,0.9013553912238341,0.0
100,ring,16,0.0,2,true,28,228,1.0,1.0,99,0.9261549718516005,0.0
100,ring,16,0.0,23,true,34,234,1.0,1.0,100,0.9260011514503975,0.0
100,ring,16,0.0,15,true,70,270,1.0,1.0,100,0.9289319038907381,0.0
100,ring,16,0.0,32,true,435,635,1.0,1.0,100,0.9131412372918309,0.0
100,ring,16,0.0,19,true,984,1184,1.0,1.0,100,0.8902462497189569,0.0
100,ring,16,0.0,42,true,239,439,1.0,1.0,100,0.9056141980486764,0.0
100,ring,16,0.0,12,true,193,393,1.0,1.0,100,0.9045564456623633,0.0
100,ring,16,0.0,5,true,370,570,1.0,1.0,99,0.8911224407240091,0.0
100,ring,16,0.0,24,true,197,397,1.0,1.0,100,0.9269960682197184,0.0
100,ring,16,0.0,29,true,364,564,1.0,1.0,99,0.919896460072422,0.0
100,ring,16,0.0,30,true,32,232,1.0,1.0,100,0.9248644400756413,0.0
100,ring,16,0.0,3,true,438,638,1.0,1.0,100,0.891419469315995,0.0
100,ring,16,0.0,18,true,931,1131,1.0,1.0,100,0.892304131866148,0.0
100,ring,16,0.0,6,true,904,1104,1.0,1.0,100,0.9014940804348741,0.0
100,ring,16,0.0,20,true,940,1140,1.0,1.0,100,0.8902154509063057,0.0
100,ring,16,0.0,21,true,430,630,1.0,1.0,100,0.8895084139548931,0.0
100,sw_p001,4,0.01,41,true,174,374,1.0,1.0,99,0.9277426105604905,0.0
100,sw_p001,4,0.01,39,true,195,395,1.0,1.0,99,0.9311575920674552,0.0
100,sw_p001,4,0.01,13,true,367,567,1.0,1.0,100,0.9344913294581194,0.0
100,sw_p001,4,0.01,43,true,406,606,1.0,1.0,100,0.945100143153752,0.0
100,sw_p001,4,0.01,25,true,271,471,1.0,1.0,100,0.9231223297988315,0.0
100,sw_p001,4,0.01,45,true,316,516,1.0,1.0,100,0.9466593816207003,0.0
100,sw_p001,4,0.01,44,true,150,350,1.0,1.0,99,0.9180907396296198,0.0
100,sw_p001,4,0.01,46,true,173,373,1.0,1.0,100,0.9278593211066195,0.0
100,sw_p001,4,0.01,10,true,776,976,1.0,1.0,99,0.9402093246277946,0.0
100,sw_p001,4,0.01,31,true,283,483,1.0,1.0,99,0.9347698037216666,0.0
100,sw_p001,4,0.01,49,true,831,1031,1.0,1.0,99,0.960245429590576,0.0
100,sw_p001,4,0.01,35,true,492,692,1.0,1.0,100,0.9642866732344738,0.0
100,sw_p001,4,0.01,1,true,867,1067,1.0,1.0,100,0.9587397632337045,0.0
100,sw_p001,4,0.01,47,true,1324,1524,1.0,1.0,100,0.9602452639955756,0.0
100,sw_p001,4,0.01,14,true,884,1084,1.0,1.0,100,0.9488846827393602,0.0
100,sw_p001,4,0.01,7,true,1153,1353,1.0,1.0,100,0.9484437182349594,0.0
100,sw_p001,4,0.01,2,true,349,549,1.0,1.0,100,0.9326763212678428,0.0
100,sw_p001,4,0.01,36,true,460,660,1.0,1.0,100,0.9519840151239276,0.0
100,sw_p001,4,0.01,32,true,1122,1322,1.0,1.0,100,0.9690911747985544,0.0
100,sw_p001,4,0.01,15,true,592,792,1.0,1.0,100,0.961447981660104,0.0
100,sw_p001,4,0.01,28,true,1289,1489,1.0,1.0,100,0.9645228825232273,0.0
100,sw_p001,4,0.01,4,true,2262,2462,1.0,1.0,100,0.9616909939164147,0.0
100,sw_p001,4,0.01,5,true,365,565,1.0,1.0,100,0.9517417974095597,0.0
100,sw_p001,4,0.01,33,true,2745,2945,1.0,1.0,100,0.9603657971594843,0.0
100,sw_p001,4,0.01,50,true,1657,1857,1.0,1.0,98,0.9530505636706887,0.0
100,sw_p001,4,0.01,37,true,3001,3201,1.0,1.0,100,0.9638035627513653,0.0
100,sw_p001,4,0.01,48,true,1759,1959,1.0,1.0,98,0.9554374466402359,0.0
100,sw_p001,4,0.01,34,true,182,382,1.0,1.0,100,0.9251869708529898,0.0
100,sw_p001,4,0.01,22,false,0,5000,0.9111111111111111,0.61,99,0.799252308640671,0.42103333333333315
100,sw_p001,4,0.01,26,true,3145,3345,1.0,1.0,100,0.953899506569888,0.0
100,sw_p001,4,0.01,3,true,2397,2597,1.0,1.0,100,0.9615148727567003,0.0
100,sw_p001,4,0.01,16,false,0,5000,1.0,0.57,97,0.8943063913827712,0.46226666666666666
100,sw_p001,4,0.01,38,true,1886,2086,1.0,1.0,100,0.9546743513897834,0.0
100,sw_p001,4,0.01,29,true,2249,2449,1.0,1.0,100,0.960642677924899,0.0
100,sw_p001,4,0.01,40,true,4658,4858,1.0,1.0,100,0.9602360299911868,0.0
100,sw_p001,4,0.01,19,false,0,5000,0.9767441860465116,0.6699999999999999,99,0.8828630454862133,0.4274666666666667
100,sw_p001,4,0.01,6,true,2197,2397,1.0,1.0,100,0.9616957621512978,0.0
100,sw_p001,4,0.01,23,true,940,1140,1.0,1.0,100,0.9325095159019504,0.0
100,sw_p001,4,0.01,42,false,0,5000,0.9565217391304348,0.5,98,0.9057528668913043,0.46299999999999997
100,sw_p001,4,0.01,8,true,3581,3781,1.0,1.0,100,0.9598261742282169,0.0
100,sw_p001,4,0.01,11,false,0,5000,1.0,1.0,99,0.9341780684697104,0.0
100,sw_p001,4,0.01,27,true,2774,2974,1.0,1.0,100,0.9689880932302307,0.0
100,sw_p001,4,0.01,17,true,3059,3259,1.0,1.0,100,0.9639554280178007,0.0
100,sw_p001,4,0.01,12,true,1368,1568,1.0,1.0,100,0.9649345775589393,0.0
100,sw_p001,4,0.01,30,true,3414,3614,1.0,1.0,100,0.9611737312930263,0.0
100,sw_p001,4,0.01,18,true,2540,2740,1.0,1.0,100,0.9618949643947335,0.0
100,sw_p001,4,0.01,9,true,3004,3204,1.0,1.0,100,0.950163480907079,0.0
100,sw_p001,4,0.01,24,false,0,5000,0.9534883720930233,0.5,99,0.866060448522075,0.47883333333333317
100,sw_p001,4,0.01,20,true,4917,5000,1.0,1.0,100,0.9064499890385342,0.0
100,sw_p001,4,0.01,21,true,1229,1429,1.0,1.0,100,0.957462059034489,0.0
100,sw_p001,8,0.01,13,true,31,231,1.0,1.0,100,0.9247563923627631,0.0
100,sw_p001,8,0.01,43,true,202,402,1.0,1.0,100,0.9296081899378354,0.0
100,sw_p001,8,0.01,31,true,243,443,1.0,1.0,100,0.9155793273727183,0.0
