tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
128,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9989,NaN,0.9989,NaN,0.7789,NaN,2.3,NaN,0.6279,NaN,NaN,NaN
129,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.999,NaN,0.999,NaN,0.78,NaN,2.3,NaN,0.6294,NaN,NaN,NaN
130,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9991,NaN,0.9991,NaN,0.7811,NaN,2.3,NaN,0.6309,NaN,NaN,NaN
131,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9992,NaN,0.9992,NaN,0.7822,NaN,2.3,NaN,0.6323,NaN,NaN,NaN
132,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9993,NaN,0.9993,NaN,0.7833,NaN,2.3,NaN,0.6338,NaN,NaN,NaN
133,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9994,NaN,0.9994,NaN,0.7844,NaN,2.3,NaN,0.6353,NaN,NaN,NaN
134,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9994,NaN,0.9994,NaN,0.7854,NaN,2.3,NaN,0.6368,NaN,NaN,NaN
135,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9995,NaN,0.9995,NaN,0.7865,NaN,2.3,NaN,0.6383,NaN,NaN,NaN
136,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9995,NaN,0.9995,NaN,0.7876,NaN,2.3,NaN,0.6398,NaN,NaN,NaN
137,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9996,NaN,0.9996,NaN,0.7886,NaN,2.3,NaN,0.6412,NaN,NaN,NaN
138,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9996,NaN,0.9996,NaN,0.7897,NaN,2.3,NaN,0.6427,NaN,NaN,NaN
139,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9997,NaN,0.9997,NaN,0.7908,NaN,2.3,NaN,0.6442,NaN,NaN,NaN
140,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9997,NaN,0.9997,NaN,0.7918,NaN,2.3,NaN,0.6456,NaN,NaN,NaN
141,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9997,NaN,0.9997,NaN,0.7928,NaN,2.3,NaN,0.6471,NaN,NaN,NaN
142,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9998,NaN,0.9998,NaN,0.7939,NaN,2.3,NaN,0.6485,NaN,NaN,NaN
