theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,19,true,101,101,1.0,0.9993895955171205,99,0.8461944517605281,0.99,35,37,52,52,17,0,16,0,1.0,4
3.0,2.0,19,true,94,94,0.0,0.9995310970182575,96,0.8623189392895764,0.96,26,28,45,45,11,330,7,0,1.0,0
3.0,0.0,20,true,81,81,1.0,0.9980173632945736,98,0.8448919598133765,0.98,28,28,32,32,7,0,5,0,1.0,1
3.0,1.0,4,true,124,124,1.0,0.9999062619247496,96,0.8687839285620603,0.96,40,40,75,75,25,772,21,0,1.0,2
5.0,0.0,5,true,132,132,0.0,0.9991134196955364,94,0.7777029827428013,0.94,71,71,83,83,24,0,17,2,1.0,17
3.0,2.0,20,true,108,108,0.0,0.9993407183388803,97,0.8020232588148539,0.97,44,44,59,59,40,977,37,0,1.0,6
3.0,0.0,21,true,92,92,0.0,0.9993801647442976,99,0.8530285449505977,0.99,31,31,43,43,11,0,10,0,1.0,1
3.0,1.0,5,true,97,97,1.0,0.9993440324743124,98,0.8601039150937438,0.98,33,33,48,48,12,428,10,0,1.0,1
5.0,0.0,6,true,96,96,0.0,0.9990044834270805,93,0.8544446328407278,0.93,36,37,47,47,6,0,0,0,1.0,3
3.0,2.0,21,true,66,66,1.0,0.9968374828429616,99,0.8460222697305396,0.99,16,16,17,17,2,104,1,0,1.0,0
3.0,0.0,22,true,97,97,0.0,0.9986856579513728,98,0.8253610713752892,0.98,39,39,48,48,14,0,12,0,1.0,11
3.0,1.0,6,true,113,113,1.0,0.9991402210366144,96,0.7971275987774505,0.96,52,54,64,64,36,1061,32,0,1.0,7
3.0,0.0,23,true,77,77,0.0,0.9977769070921587,97,0.8485313395991714,0.97,25,25,28,28,5,0,2,0,1.0,1
3.0,2.0,22,true,109,109,1.0,0.9996946388308452,94,0.8657070444021729,0.94,40,40,60,60,26,688,20,0,1.0,3
3.0,1.0,7,true,100,100,1.0,0.9996115035457482,98,0.863525128669311,0.98,32,32,51,51,11,394,9,0,1.0,2
3.0,2.0,23,true,110,110,1.0,0.9998069872967116,95,0.8635866990267089,0.95,33,37,61,61,24,599,19,0,1.0,1
3.0,0.0,24,true,110,110,1.0,0.9987829240582008,98,0.7542235581258063,0.98,54,55,61,61,30,0,27,1,1.0,15
3.0,1.0,8,true,77,77,0.0,0.9971763184240426,100,0.8478676578814941,1.0,28,28,27,28,8,266,8,0,1.0,0
3.0,0.0,25,true,100,100,0.0,0.999128070765908,99,0.8336713256545304,0.99,38,39,51,51,22,0,21,0,1.0,9
3.0,2.0,24,true,130,130,0.0,0.9999804345616436,92,0.8804474435570416,0.92,34,34,81,81,23,613,15,0,1.0,1
3.0,1.0,9,true,117,117,0.0,0.9998121163515473,93,0.8683927272501859,0.93,43,43,68,68,24,712,17,0,1.0,4
3.0,2.0,25,true,69,69,1.0,0.9969303080825205,100,0.8462263648760228,1.0,20,20,20,20,3,148,3,0,1.0,0
3.0,0.0,26,true,107,107,0.0,0.999614080680564,96,0.8290452787393607,0.96,39,40,58,58,23,0,19,0,1.0,9
9.0,5.0,16,false,0,3000,1.0,0.9999999999999999,84,0.9999999248990716,0.84,49,49,0,0,0,71,0,0,1.0,0
3.0,1.0,10,true,108,108,1.0,0.9997322566441609,97,0.863988968396963,0.97,37,37,59,59,21,605,18,0,1.0,1
3.0,2.0,26,true,70,70,1.0,0.9963978665268659,99,0.8465981232834645,0.99,21,21,21,21,4,174,3,0,1.0,0
3.0,0.0,27,true,102,102,1.0,0.9997968819376087,98,0.8629970851994434,0.98,28,28,53,53,11,0,9,0,1.0,2
9.0,0.5,16,false,0,3000,0.0,0.9999999999999999,83,0.9999999272519962,0.83,43,43,0,0,0,52,0,0,1.0,0
12.0,1.0,16,false,0,3000,0.0,0.9999999999999999,62,0.9999999103119951,0.62,79,80,0,0,0,59,0,0,1.0,0
15.0,0.0,16,false,0,3000,0.0,0.9999999999999999,56,0.9999999194892579,0.56,55,55,0,0,0,0,0,0,1.0,0
3.0,1.0,11,true,80,80,1.0,0.9972127647934252,100,0.8498067591634296,1.0,31,31,27,31,8,335,8,0,1.0,0
3.0,2.0,27,true,110,110,0.0,0.9995006435503797,97,0.8039565760120994,0.97,44,43,61,61,39,999,36,0,1.0,7
9.0,2.0,1,false,0,3000,1.0,0.9999999999999999,84,0.9999999232693265,0.84,51,51,0,0,0,75,0,0,1.0,0
3.0,0.0,28,true,102,102,0.0,0.9995581564105794,94,0.8362190267330655,0.94,33,36,53,53,17,0,11,0,1.0,2
3.0,1.0,12,true,99,99,0.0,0.9996414537956023,98,0.862928035048084,0.98,30,30,50,50,12,388,10,0,1.0,1
12.0,0.5,1,false,0,3000,0.0,0.9999999999999999,68,0.9999999220130914,0.68,53,53,0,0,0,38,0,0,1.0,0
15.0,2.0,16,false,0,3000,1.0,0.9999999999999999,71,0.9999999222229081,0.71,44,47,0,0,0,21,0,0,1.0,0
5.0,1.0,16,false,0,3000,1.0,0.9999999999999999,89,0.9999999293714238,0.89,47,48,0,0,9,406,0,0,1.0,0
3.0,2.0,28,true,110,110,0.0,0.9997680779696811,98,0.8662277260698331,0.98,33,34,61,61,25,653,23,0,1.0,4
7.0,1.0,1,false,0,3000,1.0,0.9999999999999999,84,0.9999999292461881,0.84,37,37,0,0,1,84,0,0,1.0,0
3.0,0.0,29,true,106,106,1.0,0.9992919031824944,96,0.8137360277526703,0.96,43,46,57,57,23,0,19,0,1.0,8
3.0,1.0,13,true,80,80,1.0,0.9971969490606455,99,0.849744579152116,0.99,30,30,31,31,10,363,9,0,1.0,0
7.0,0.0,16,false,0,3000,1.0,0.9999999999999999,84,0.99999992917931,0.84,35,37,0,0,0,0,0,0,1.0,0
5.0,1.0,17,true,79,79,0.0,0.9980747324959444,98,0.8479669833746365,0.98,26,26,30,30,0,74,0,0,1.0,0
7.0,1.0,2,true,100,100,1.0,0.9994590512285372,92,0.8569516271285721,0.92,34,36,51,51,0,65,0,0,1.0,0
3.0,2.0,29,true,109,109,1.0,0.9988562896816133,98,0.7273336917905009,0.98,53,53,60,60,42,1096,40,0,1.0,6
3.0,0.0,30,true,106,106,0.0,0.9991759476563664,97,0.7920208162497011,0.97,45,47,57,57,30,0,27,0,1.0,11
9.0,0.0,2,false,0,3000,1.0,0.9999999999999999,68,0.9999999137938758,0.68,67,67,0,0,1,0,0,0,1.0,0
3.0,1.0,14,true,114,114,1.0,0.999871322440094,99,0.8679511041719901,0.99,35,35,65,65,17,514,16,0,1.0,1
5.0,1.0,18,true,105,105,0.0,0.9988413113259105,92,0.8566427016729684,0.92,47,47,56,56,8,359,0,0,1.0,4
5.0,5.0,5,false,0,3000,0.0,0.9999999999999999,84,0.9999999329545627,0.84,37,38,0,0,12,357,0,0,1.0,0
15.0,1.0,1,false,0,3000,1.0,0.9999999999999999,66,0.9999999178948842,0.66,58,61,0,0,0,31,0,0,1.0,0
3.0,1.0,15,true,72,72,0.0,0.9974420553241384,100,0.8479462507491866,1.0,21,21,19,21,5,202,5,0,1.0,0
7.0,1.0,3,true,133,133,0.0,0.9998464726509275,92,0.8696291479043375,0.92,52,52,84,84,4,298,0,0,1.0,0
3.0,0.5,1,true,119,119,0.0,0.9994237965168472,96,0.7960913805218325,0.96,54,54,70,70,37,1061,33,0,1.0,10
9.0,0.0,3,true,130,130,1.0,0.9999861461528782,91,0.8746145074338881,0.91,32,32,81,81,0,0,0,0,1.0,0
5.0,1.0,19,true,101,101,0.0,0.9987706392546284,92,0.8554268237788973,0.92,43,46,52,52,6,314,0,0,1.0,2
7.0,2.0,18,false,0,3000,0.0,0.9999999999999999,85,0.9999999249237864,0.85,57,58,0,0,7,313,0,0,1.0,3
3.0,1.0,16,true,119,119,0.0,0.9998598887858451,95,0.8648692708238418,0.95,41,41,70,70,27,756,22,0,1.0,1
3.0,2.0,30,true,77,77,1.0,0.9978870302940475,98,0.850488494158723,0.98,22,22,23,25,5,204,4,0,1.0,0
5.0,1.0,20,true,91,91,0.0,0.9977988006353522,98,0.851039833875936,0.98,36,36,42,42,3,244,1,0,1.0,1
3.0,0.5,2,true,117,117,1.0,0.9993298987458755,96,0.7907812872746538,0.96,55,55,68,68,33,1093,29,0,1.0,12
12.0,5.0,1,false,0,3000,1.0,0.9999999999999999,87,0.9999999210365978,0.87,60,60,0,0,0,77,0,0,1.0,0
3.0,0.5,3,true,68,68,0.0,0.9974754828021475,100,0.847633031832535,1.0,19,19,17,19,1,86,1,0,1.0,0
3.0,5.0,1,true,110,110,0.0,0.9975932961734718,100,0.6570488529451345,1.0,59,59,59,59,51,1123,49,2,1.0,7
5.0,1.0,21,true,83,83,1.0,0.99803589364264,98,0.8495779851855058,0.98,27,29,34,34,1,123,0,0,1.0,0
3.0,1.0,17,true,115,115,1.0,0.9995346849265221,96,0.8502573466526618,0.96,49,49,66,66,30,942,26,0,1.0,4
3.0,1.0,18,true,76,76,0.0,0.9976380251477989,99,0.8492527551476776,0.99,26,27,24,27,3,197,2,0,1.0,0
5.0,1.0,22,true,88,88,0.0,0.9985165965804293,97,0.8512274397360313,0.97,32,32,39,39,1,117,0,0,1.0,0
3.0,0.5,4,true,111,111,1.0,0.9992232451967071,98,0.8028952433398984,0.98,47,48,62,62,31,961,29,0,1.0,7
3.0,5.0,2,true,120,120,0.0,0.9999394545191964,94,0.8738319821344541,0.94,36,36,71,71,29,690,23,0,1.0,3
5.0,1.0,23,true,80,80,1.0,0.9978422887077925,100,0.8478200330638731,1.0,29,29,31,31,0,83,0,0,1.0,0
3.0,1.0,19,true,108,108,1.0,0.9993494069281464,97,0.8537582602561199,0.97,43,43,59,59,26,777,23,0,1.0,5
3.0,5.0,3,true,116,116,0.0,0.9999588851986196,97,0.8757039656845264,0.97,27,28,67,67,15,379,12,0,1.0,1
3.0,0.5,5,true,117,117,0.0,0.9998503075237123,96,0.8634803408634566,0.96,40,40,68,68,21,717,17,0,1.0,2
3.0,1.0,20,true,75,75,0.0,0.9974789312303297,100,0.8477895659067284,1.0,22,22,23,23,7,231,7,0,1.0,0
3.0,5.0,4,true,102,102,1.0,0.999388340655002,98,0.8536929058389817,0.98,38,38,53,53,27,718,25,0,1.0,3
5.0,1.0,24,true,142,142,1.0,0.9998924677304902,90,0.8737691545895208,0.9,61,61,93,93,14,628,4,0,1.0,2
3.0,1.0,21,true,71,71,0.0,0.9972207778791662,98,0.8473564277919734,0.98,22,22,21,22,5,179,4,0,1.0,0
3.0,0.5,6,true,132,132,0.0,0.9999646333148999,91,0.8778682721372202,0.91,39,40,83,83,24,753,15,0,1.0,4
5.0,1.0,25,true,81,81,1.0,0.9977046284957037,99,0.8485828853323301,0.99,31,31,32,32,0,119,0,0,1.0,0
3.0,1.0,22,true,77,77,0.0,0.9977130822038284,100,0.8498877779319696,1.0,23,23,22,23,6,231,6,0,1.0,0
3.0,5.0,5,true,113,113,0.0,0.9998092322941435,96,0.8552100668100358,0.96,39,39,64,64,31,733,27,0,1.0,3
3.0,0.5,7,true,77,77,1.0,0.997508058703892,98,0.8492611799512171,0.98,26,25,26,28,6,238,4,0,1.0,0
3.0,1.0,23,true,77,77,1.0,0.9973345519550866,99,0.8490798274884012,0.99,28,28,27,28,8,274,7,0,1.0,0
5.0,1.0,26,true,87,87,0.0,0.9988735557438432,97,0.8523333447044102,0.97,26,27,38,38,1,101,0,0,1.0,0
3.0,0.5,8,true,79,79,1.0,0.997835302464584,100,0.8505041610567445,1.0,26,26,26,26,4,195,4,0,1.0,0
3.0,5.0,6,true,113,113,1.0,0.9999375271427199,98,0.873337408835554,0.98,29,29,64,64,13,362,11,0,1.0,1
5.0,1.0,27,true,93,93,1.0,0.998678083830099,92,0.8530445562379161,0.92,35,34,44,44,2,164,0,0,1.0,1
3.0,1.0,24,true,113,113,1.0,0.9986127175654395,100,0.7144787084345249,1.0,57,58,64,64,44,1138,44,0,1.0,9
3.0,5.0,7,true,104,104,0.0,0.9997151673270821,99,0.86546794635216,0.99,33,33,55,55,17,450,16,0,1.0,2
3.0,0.5,9,true,96,96,0.0,0.9994825688389452,99,0.8596104586291995,0.99,31,32,47,47,12,407,11,0,1.0,0
5.0,1.0,28,true,96,96,0.0,0.9981545654866347,93,0.8543626426508176,0.93,44,45,47,47,7,323,0,0,1.0,2
3.0,5.0,8,true,69,69,1.0,0.9970946103278923,100,0.8477441103984822,1.0,20,20,17,20,3,147,3,0,1.0,1
3.0,1.0,25,true,103,103,1.0,0.9995702835793354,96,0.863657122918741,0.96,35,36,54,54,14,496,10,0,1.0,0
3.0,0.5,10,true,110,110,1.0,0.9994884439898262,100,0.852650375246875,1.0,41,43,61,61,26,789,26,0,1.0,3
3.0,5.0,9,true,67,67,0.0,0.9972593531366978,100,0.8470986225578997,1.0,17,18,16,18,0,97,0,0,1.0,0
5.0,1.0,29,true,102,102,0.0,0.9992256993832903,93,0.8573385051501168,0.93,39,41,53,53,4,229,0,0,1.0,2
3.0,1.0,26,true,86,86,1.0,0.9982302125439679,98,0.8550217201358361,0.98,31,31,29,31,9,386,7,0,1.0,1
3.0,0.5,11,true,71,71,1.0,0.9970615335706513,100,0.84655063005608,1.0,22,22,22,22,4,177,4,0,1.0,0
5.0,1.0,30,true,86,86,0.0,0.9980087213928883,96,0.8503790510361342,0.96,29,29,37,37,2,137,0,0,1.0,0
