alpha,beta,ratio,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.1,0.2,2.0,A_baseline,11,0,false,544,557,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,12,0,false,1762,1733,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,13,0,false,745,740,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,14,0,false,326,326,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,15,0,false,1904,1408,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,16,0,false,1626,1626,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,17,0,false,708,651,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,18,0,false,1348,1294,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,19,0,false,795,800,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,20,0,false,1077,1488,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,21,0,false,1085,674,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,22,0,false,732,744,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,23,0,false,566,565,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,24,0,false,636,273,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,25,0,false,586,327,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,26,0,false,317,317,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,27,0,false,1711,1709,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,28,0,false,784,753,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,29,0,false,0,0,0,0,0.4,0.33840854372751544,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,30,0,false,703,703,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,1,0,false,120,122,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,2,0,false,256,256,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,3,0,false,119,124,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,4,0,false,270,270,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,5,0,false,158,158,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,6,0,false,99,99,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,7,0,false,184,186,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,8,0,false,74,74,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,9,0,false,71,126,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,10,0,false,87,87,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,11,0,false,109,112,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,12,0,false,160,160,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,13,0,false,239,179,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,14,0,false,90,90,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,15,0,false,329,324,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,16,0,false,66,79,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,17,0,false,197,196,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,18,0,false,114,115,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
