theta_crystal,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
8.0,A_baseline,1,0,false,259,277,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,2,0,false,148,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,3,0,false,910,910,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,4,0,false,1112,1109,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,5,0,false,446,446,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,6,0,false,2098,2101,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,7,0,false,1825,1846,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,8,0,false,1075,1125,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,9,0,false,1096,1092,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,10,0,false,593,596,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,11,0,false,1495,1495,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,12,0,false,996,1000,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,13,0,false,2569,2574,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,14,0,false,554,537,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,15,0,false,463,483,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,16,0,false,170,157,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,17,0,false,850,855,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,18,0,false,1237,1238,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,19,0,false,701,688,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,20,0,false,663,663,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,21,0,false,1227,1246,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,22,0,false,1352,1353,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,23,0,false,1892,1890,0,0,0.24,0.38343742655396595,0,0.0,0.0,3000
8.0,A_baseline,24,0,false,940,947,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
8.0,A_baseline,25,0,false,245,258,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
