N,condition,exp_on,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20,Exp_only,true,false,3,true,14,11,0,1.0,1.0,0,0.0,0.0,0.0,214
20,Exp_only,true,false,49,true,127,122,0,1.0,1.0,0,0.0,0.0,0.0,327
20,Exp_only,true,false,5,true,63,56,0,1.0,1.0,0,0.0,0.0,0.0,263
20,Exp_only,true,false,47,true,114,15,0,1.0,1.0,0,0.0,0.0,0.0,314
20,Exp_only,true,false,40,true,36,36,0,1.0,1.0,0,0.0,0.0,0.0,236
20,Exp_only,true,false,46,true,220,118,0,1.0,1.0,0,0.0,0.0,0.0,420
20,Exp_only,true,false,34,true,114,39,0,1.0,1.0,0,0.0,0.0,0.0,314
20,Exp_only,true,false,26,true,135,124,0,1.0,1.0,0,0.0,0.0,0.0,335
20,Exp_only,true,false,44,true,74,51,0,1.0,1.0,0,0.0,0.0,0.0,274
20,Exp_only,true,false,9,true,103,80,0,1.0,1.0,0,0.0,0.0,0.0,303
20,Exp_only,true,false,23,true,98,33,0,1.0,1.0,0,0.0,0.0,0.0,298
20,Exp_only,true,false,18,true,62,17,0,1.0,1.0,0,0.0,0.0,0.0,262
20,Exp_only,true,false,14,true,201,189,0,1.0,1.0,0,0.0,0.0,0.0,401
20,Exp_only,true,false,20,true,197,21,0,1.0,1.0,0,0.0,0.0,0.0,397
20,Exp_only,true,false,32,true,50,43,0,1.0,1.0,0,0.0,0.0,0.0,250
20,Exp_only,true,false,38,true,205,23,0,1.0,1.0,0,0.0,0.0,0.0,405
20,Exp_only,true,false,12,true,68,25,0,1.0,1.0,0,0.0,0.0,0.0,268
20,Exp_only,true,false,48,true,70,46,0,1.0,1.0,0,0.0,0.0,0.0,270
