condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
DM_base,10,1,0.48241815132442173,0.4218750000000004,83,0,111,0.0,59,0.54,NaN,NaN,true
DM_base,11,18,0.3011668292405264,0.23698673225694383,156,0,223,0.0,73,0.5,NaN,NaN,true
DM_base,12,4,0.2690497473599134,0.3437671875,92,0,229,0.0,61,0.5,NaN,NaN,true
DM_base,13,5,0.3075280684861892,0.3941613076923077,47,0,452,0.0,73,0.53,NaN,NaN,true
DM_base,14,16,0.29871122352822366,0.23830468813079825,51,0,74,0.0,162,0.5,NaN,NaN,true
DM_base,15,22,0.31746311326330223,0.2481234005529623,53,0,84,0.0,128,0.5,NaN,NaN,true
DM_base,16,12,0.3091569217156053,0.2624398335204063,50,0,155,0.0,102,0.5,NaN,NaN,true
DM_base,17,8,0.3216949273187662,0.31740408100000006,73,0,208,0.0,51,0.51,NaN,NaN,true
DM_base,18,7,0.29679710936966824,0.35381946129032266,58,0,87,0.0,32,0.53,NaN,NaN,true
DM_base,19,21,0.3081842846591738,0.2720748704430976,40,0,270,0.0,99,0.5,NaN,NaN,true
DM_base,20,12,0.3466650479112685,0.29778749166127044,71,0,249,0.0,32,0.51,NaN,NaN,true
DM_base,21,1,0.4902071300001973,0.4516393442622955,117,0,229,0.0,37,0.5,NaN,NaN,true
DM_base,22,10,0.3406303574316893,0.29597588567500005,154,0,167,0.0,58,0.53,NaN,NaN,true
DM_base,23,10,0.3102260136956811,0.31240431533499996,67,0,104,0.0,109,0.5,NaN,NaN,true
DM_base,24,4,0.290780278896003,0.3894033333333333,104,0,168,0.0,142,0.5,NaN,NaN,true
DM_base,25,23,0.32111006256163777,0.2686983966827682,62,0,0,0.0,71,0.51,NaN,NaN,true
DM_base,26,13,0.3401038000923564,0.30460641766645985,57,0,159,0.0,89,0.51,NaN,NaN,true
DM_base,27,5,0.28694347883319,0.32148806451612905,58,0,339,0.0,62,0.5,NaN,NaN,true
DM_base,28,4,0.2914561529859264,0.357282258064516,85,0,227,0.0,70,0.51,NaN,NaN,true
DM_base,29,22,0.3248272872688395,0.2760766000965793,96,0,179,0.0,59,0.52,NaN,NaN,true
DM_base,30,12,0.3441785793749535,0.3026099252352705,63,0,454,0.0,38,0.5,NaN,NaN,true
DM_base,31,10,0.3184646810659225,0.2657021099880953,68,0,293,0.0,87,0.51,NaN,NaN,true
DM_base,32,20,0.33553565396865814,0.2873424839304089,48,0,500,0.0,58,0.51,NaN,NaN,true
DM_base,33,16,0.2942633329025366,0.27691802623015266,58,0,244,0.0,58,0.55,NaN,NaN,true
DM_base,34,8,0.35426391019914055,0.3359869400819672,41,0,181,0.0,103,0.5,NaN,NaN,true
DM_base,35,1,0.4923659639173309,0.45333333333333375,172,0,230,0.0,40,0.5,NaN,NaN,true
DM_base,36,13,0.3346889522004395,0.2851117892603049,71,0,236,0.0,48,0.53,NaN,NaN,true
DM_base,37,4,0.2723767856403699,0.30885983606557366,138,0,232,0.0,72,0.51,NaN,NaN,true
DM_base,38,19,0.3140732005578349,0.25441612119773593,52,0,87,0.0,84,0.5,NaN,NaN,true
DM_base,39,5,0.30843341719000905,0.35483181818181825,88,0,98,0.0,65,0.53,NaN,NaN,true
DM_base,40,19,0.33658348140558925,0.2553107261723297,105,0,152,0.0,68,0.5,NaN,NaN,true
DM_base,41,3,0.3087573297339223,0.38599206349206355,38,0,0,0.0,60,0.51,NaN,NaN,true
DM_base,42,34,0.3315387297027744,0.2877947101814832,59,0,144,0.0,64,0.51,NaN,NaN,true
DM_base,43,9,0.2795637032905575,0.29829483934999984,146,0,387,0.0,83,0.51,NaN,NaN,true
DM_base,44,4,0.26948609487520625,0.3588352459016393,193,0,0,0.0,79,0.51,NaN,NaN,true
DM_base,45,4,0.29815533692736673,0.40126875,74,0,239,0.0,86,0.5,NaN,NaN,true
DM_base,46,16,0.345327151771826,0.2713827107027322,60,0,373,0.0,38,0.53,NaN,NaN,true
DM_base,47,5,0.2771141061618742,0.34636729508196706,55,0,81,0.0,57,0.52,NaN,NaN,true
DM_base,48,71,0.3268938174717206,0.2763711024984355,67,0,396,0.0,78,0.52,NaN,NaN,true
DM_base,49,18,0.33940079733932255,0.2713856351875592,119,0,360,0.0,97,0.51,NaN,NaN,true
DM_base,50,5,0.32421882289257226,0.3451828333333332,99,0,325,0.0,140,0.5,NaN,NaN,true
DM_full,1,14,0.31591151320438476,0.27918330202457703,11,12,25,0.0,5,0.74,1.0,NaN,true
DM_full,2,10,0.27136000332200405,0.29045553629500004,13,11,23,0.0,1,0.77,1.0,NaN,true
DM_full,3,6,0.2997894884310279,0.3285295491803278,17,11,23,0.0,1,0.77,1.0,NaN,true
DM_full,4,4,0.2940391722073237,0.3896875,22,11,26,0.0,5,0.75,1.0,NaN,true
DM_full,5,23,0.3493460300465934,0.2659031929296213,11,13,34,0.0,2,0.76,1.0,NaN,true
DM_full,6,10,0.3153570295977605,0.2718034017261905,14,11,24,0.0,1,0.77,1.0,NaN,true
DM_full,7,6,0.3134774276452734,0.30141117213114743,12,11,18,0.0,2,0.77,1.0,NaN,true
DM_full,8,4,0.27891056899916655,0.3590900000000001,13,9,17,0.0,1,0.79,1.0,NaN,true
DM_full,9,1,0.4824181513244218,0.45625000000000043,19,9,20,0.0,4,0.73,1.0,NaN,true
DM_full,10,19,0.34071271934992947,0.2717406562021247,8,14,29,0.0,1,0.76,1.0,NaN,true
DM_full,11,8,0.30712160662678,0.30749229177419346,16,11,24,0.0,1,0.74,1.0,NaN,true
DM_full,12,5,0.29823178867373124,0.3242485937499999,17,12,22,0.0,5,0.67,1.0,NaN,true
DM_full,13,7,0.30872438574303296,0.315211618852459,15,10,22,0.0,3,0.74,0.95,NaN,true
DM_full,14,4,0.2918878430268144,0.36230901639344265,16,10,20,0.0,1,0.78,1.0,NaN,true
DM_full,15,16,0.3365365868646988,0.25236068552390817,22,14,38,0.0,3,0.77,1.0,NaN,true
DM_full,16,12,0.31449280421930786,0.2816441134924544,10,11,22,0.0,3,0.77,1.0,NaN,true
DM_full,17,10,0.30985836342949563,0.2724794225799999,13,10,23,0.0,1,0.76,1.0,NaN,true
DM_full,18,5,0.2695966975855713,0.365218,17,12,22,0.0,1,0.78,1.0,NaN,true
DM_full,19,25,0.32531927682554956,0.2496348539762682,10,12,35,0.0,1,0.76,1.0,NaN,true
DM_full,20,17,0.33766545181775803,0.27394232757049525,11,13,28,0.0,1,0.77,1.0,NaN,true
DM_full,21,18,0.3263150034575203,0.24858587508194793,15,15,33,0.0,1,0.76,1.0,NaN,true
DM_full,22,38,0.32346937330413345,0.27772786729555254,11,16,51,0.0,3,0.71,1.0,NaN,true
DM_full,23,13,0.26745464387814716,0.24540420375391422,15,13,28,0.0,3,0.72,1.0,NaN,true
DM_full,24,1,0.48241815132442184,0.4437500000000005,16,9,17,0.0,1,0.79,1.0,NaN,true
DM_full,25,17,0.30171019274137956,0.2614883173970897,13,13,30,0.0,2,0.77,1.0,NaN,true
DM_full,26,1,0.48523658709390977,0.4452380952380957,18,10,19,0.0,2,0.75,1.0,NaN,true
DM_full,27,8,0.32085656262926443,0.2987224425409837,16,10,24,0.0,1,0.78,1.0,NaN,true
DM_full,28,14,0.28928197809529976,0.2822748782711567,12,12,26,0.0,2,0.75,1.0,NaN,true
DM_full,29,21,0.3414941668510108,0.26725830086848956,9,14,30,0.0,4,0.75,1.0,NaN,true
DM_full,30,24,0.36250314445789716,0.30637914142258105,11,12,37,0.0,3,0.76,1.0,NaN,true
DM_full,31,17,0.3153792721429527,0.26719278473292535,8,14,25,0.0,1,0.73,1.0,NaN,true
DM_full,32,30,0.2914549496136941,0.2452909371325599,14,14,44,0.0,6,0.74,1.0,NaN,true
